Date,Consumption
2010-04-27,99939.69878
2010-04-28,100094.5226
2010-04-29,100292.8918
2010-04-30,100754.544
2010-05-01,100449.35
2010-05-02,100452.8883
2010-05-03,100460.4317
2010-05-04,101901.4895
2010-05-05,102417.4644
2010-05-06,103155.6164
2010-05-07,103266.2108
2010-05-08,103583.5679
2010-05-09,103590.0966
2010-05-10,103593.2031
2010-05-11,103858.151
2010-05-12,103970.848
2010-05-13,104234.1108
2010-05-14,104412.1039
2010-05-15,104692.3755
2010-05-16,104701.3049
2010-05-17,104708.4106
2010-05-18,105028.3778
2010-05-19,106466.5668
2010-05-20,107122.2246
2010-05-21,107513.1256
2010-05-22,108138.0033
2010-05-23,108173.3341
2010-05-24,108173.8239
2010-05-25,108191.3281
2010-05-26,108690.833
2010-05-27,109732.3901
2010-05-28,109873.1541
2010-05-29,110105.2523
2010-05-30,110086.0162
2010-05-31,110086.3446
2010-06-01,110191.061
2010-06-02,110269.1184
2010-06-03,111085.4309
2010-06-04,111391.986
2010-06-05,112201.8247
2010-06-06,112276.1148
2010-06-07,112272.7693
2010-06-08,112796.5703
2010-06-09,113185.6726
2010-06-10,113358.2514
2010-06-11,113650.1422
2010-06-12,114122.4611
2010-06-13,114145.0663
2010-06-14,114154.2601
2010-06-15,114506.6595
2010-06-16,115030.3605
2010-06-17,115545.0116
2010-06-18,115677.724
2010-06-19,115796.1159
2010-06-20,115789.8106
2010-06-21,115792.7928
2010-06-22,115985.779
2010-06-23,115814.9535
2010-06-24,116135.5459
2010-06-25,116281.0842
2010-06-26,116509.4479
2010-06-27,116559.3266
2010-06-28,116562.4753
2010-06-29,116715.6085
2010-06-30,117783.9105
2010-07-01,118142.7036
2010-07-02,118147.0845
2010-07-03,118631.2548
2010-07-04,118624.3134
2010-07-05,118626.5642
2010-07-06,118500.3762
2010-07-07,118894.3864
2010-07-08,119029.2282
2010-07-09,119725.0927
2010-07-10,119699.313
2010-07-11,119592.2397
2010-07-12,119584.0551
2010-07-13,119404.3717
2010-07-14,119426.4071
2010-07-15,119355.8589
2010-07-16,119272.2467
2010-07-17,119701.5624
2010-07-18,119738.6201
2010-07-19,119717.6588
2010-07-20,119668.9277
2010-07-21,119614.3802
2010-07-22,119850.4441
2010-07-23,119780.6115
2010-07-24,119721.381
2010-07-25,120009.9105
2010-07-26,120009.2325
2010-07-27,120151.7103
2010-07-28,120368.7002
2010-07-29,119612.6531
2010-07-30,119605.4925
2010-07-31,119675.5625
2010-08-01,119717.0134
2010-08-02,119717.0292
2010-08-03,119717.6732
2010-08-04,120058.1862
2010-08-05,121403.8775
2010-08-06,121725.0108
2010-08-07,120396.4776
2010-08-08,120411.7895
2010-08-09,120420.9295
2010-08-10,120647.5285
2010-08-11,121194.1528
2010-08-12,121314.753
2010-08-13,121228.9212
2010-08-14,121006.1078
2010-08-15,121011.1368
2010-08-16,121000.6699
2010-08-17,120888.7738
2010-08-18,120829.4676
2010-08-19,121065.3967
2010-08-20,120698.6733
2010-08-21,119636.0044
2010-08-22,119634.9744
2010-08-23,119634.2426
2010-08-24,119344.5406
2010-08-25,119213.2579
2010-08-26,118553.5782
2010-08-27,118679.143
2010-08-28,119244.8998
2010-08-29,119244.5855
2010-08-30,119243.3146
2010-08-31,118900.925
2010-09-01,118778.8491
2010-09-02,117515.4932
2010-09-03,115995.1033
2010-09-04,114831.9954
2010-09-05,114818.2867
2010-09-06,114806.4257
2010-09-07,114798.4726
2010-09-08,114098.3645
2010-09-09,114363.6638
2010-09-10,113394.0021
2010-09-11,113086.142
2010-09-12,113032.6154
2010-09-13,112992.2556
2010-09-14,112178.0182
2010-09-15,111819.5255
2010-09-16,111310.8657
2010-09-17,111080.6671
2010-09-18,110640.2195
